filename,woman_count,word_count,year,unclear_year
smithsonianyear1968smit_djvu.txt,6,112969,1968,
smithsonianyear1969smit_djvu.txt,10,133095,1969,
smithsonianyear1974smit_djvu.txt,35,117984,1974,
smithsonianyear1975smit_djvu.txt,105,141999,1975,
smithsonianyear1976smit_djvu.txt,94,130633,1976,
smithsonianyeara1977smit_djvu.txt,84,116325,1977,
smithsonianyeara1978smit_djvu.txt,149,131417,1978,
smithsonianyeara1979smit_djvu.txt,123,147326,1979,
smithsonianyeara1980smit_djvu.txt,53,147507,1980,
smithsonianyeara1981smit_djvu.txt,42,148234,1981,
smithsonianyeara1982smit_djvu.txt,56,159239,1982,
smithsonianyeara1983smit_djvu.txt,67,162948,1983,
smithsonianyeara1984smit_djvu.txt,51,177284,1984,
smithsonianyeara1998smit_djvu.txt,8,42304,1998,
smithsonianyeara1999smit_djvu.txt,3,41687,1999,
smithsonianyeara2000smit_djvu.txt,2,23430,2000,
smithsonianyear7273smit_djvu.txt,13,148697,,7273
smithsonianyeara8587smit_djvu.txt,62,187398,,8587
smithsonianyeara8890smit_djvu.txt,45,201678,,8890
annualreportofbo18531854smit_djvu.txt,4,177002,,18531854
annualreportofbo18851smit_djvu.txt,10,265693,,18851
annualreportofbo18872smit_djvu.txt,165,213054,,18872
annualreporto18491961smit_djvu.txt,2,73260,,
annualreportofbo18842smit_djvu.txt,11,132052,,18842
annualreportofbo18551856smit_djvu.txt,8,205466,,18551856
annualreportofbo18972smit_djvu.txt,7,135222,,18972
annualreportofbo18861smit_djvu.txt,64,242558,,18861
annualreportofbo18852smit_djvu.txt,470,380389,,18852
annualreportofbo18871smit_djvu.txt,111,204882,,18871
smithsonianyeara9197smit_djvu.txt,71,258639,,9197
annualreportofbo18971smit_djvu.txt,65,290537,,18971
annualreportofbo18471849smit_djvu.txt,0,125254,,18471849
annualreportofbo18841smit_djvu.txt,13,238141,,18841
annualreportofbo18862smit_djvu.txt,9,243530,,18862
annualreportofbo11847smit_djvu.txt,0,9131,,11847
annualreportofbo18501852smit_djvu.txt,15,148615,,18501852
smithsonianyear7071smit_djvu.txt,3,100413,,7071
