irn,DarYearCollected,DarHigherTaxon,DarCollector,DarCollector2,DarStateProvince,DarCounty,DarLocality,DarIdentifiedBy
256575,1885,"Animalia, Arthropoda, Crustacea, Maxillopoda, Copepoda, Siphonostomatoida, Caligidae",R.Rathbun,,Massachusetts,,Woods Hole,"Wilson, Charles Branch, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)"
13459169,1887,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Cancridae",M.Rathbun,,Massachusetts,,Vicinity of Woods Hole,"Rathbun, Mary Jane, Smithsonian Institution"
12947957,1887,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Carcinidae",M.Rathbun,,Massachusetts,,Vicinity of Woods Hole,"Rathbun, Mary Jane, Smithsonian Institution"
256576,1887,"Animalia, Arthropoda, Crustacea, Maxillopoda, Copepoda, Siphonostomatoida, Caligidae",R.Rathbun,,Massachusetts,,Vineyard Sound,"Wilson, Charles Branch, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)"
275086,1893,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Peracarida, Mysidacea",R.Rathbun,,Maine,,Eastport,"Tattersall, Walter M."
230068,1893,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Peracarida, Isopoda, Gnathiidea, Gnathiidae",R.Rathbun,,Maine,,Eastport,"Richardson, H."
260285,1893,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Dendrobranchiata, Penaeidae",R.Rathbun,,Maine,,Eastport,"Pilsbry, Henry A."
589084,1893,"Animalia, Porifera",R.Rathbun,,Maine,,Eastport,
260778,1894,"Animalia, Arthropoda, Crustacea, Maxillopoda, Cirripedia, Thoracica, Balaniformes, Balanomorpha, Balanidae",M.Rathbun,,Nova Scotia,,Digby,"Pilsbry, Henry A."
260367,1897,"Animalia, Arthropoda, Crustacea, Maxillopoda, Cirripedia, Thoracica, Balaniformes, Balanomorpha, Balanidae",M.Rathbun,,Maine,,"Taft's Point, Frenchman's Bay","Pilsbry, Henry A."
