filename,woman_count,word_count
annualreportofbo1951smit_djvu.txt,9,109849
annualreportofbo1874smit_djvu.txt,5,98662
annualreportofbo1903smit_djvu.txt,43,173068
annualreportofbo1956smit_djvu.txt,38,139593
annualreportofbo1880smith_djvu.txt,5,195573
annualreportofbo1943smit_djvu.txt,34,144949
annualreportofbo1944smit_djvu.txt,29,115504
annualreportofbo1866smit_djvu.txt,63,137349
annualreportofbo1899smit_djvu.txt,10,166674
annualreportofbo1893smith_djvu.txt,141,243802
smithsonianyear1969smit_djvu.txt,10,133095
annualreportofbo1927smit_djvu.txt,36,132703
smithsonianyear7071smit_djvu.txt,3,100413
annualreportofbo1920smit_djvu.txt,119,159597
annualreportofbo1857smit_djvu.txt,0,106307
annualreportofbo1935smit_djvu.txt,10,129478
annualreportofbo1960smit_djvu.txt,9,150506
annualreportofbo1932smit_djvu.txt,80,110889
